City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,taltal,-25.4,-70.4833,21.83,72,28,3.88,CL,1738356008
278,el obeid,13.1842,30.2167,18.95,26,0,4.91,SD,1738356011
279,lihue,21.9789,-159.3672,24.3,78,20,2.57,US,1738356012
280,baukau,51.5526,7.2042,3.14,90,17,1.36,DE,1738356013
281,east london,-33.0153,27.9116,22.07,70,99,5.01,ZA,1738356014
282,hermoso campo,-27.6082,-61.3444,34.97,37,0,1.93,AR,1738356015
283,hanceville,34.0607,-86.7675,14.53,76,100,3.82,US,1738356016
284,alofi,-19.0595,-169.9187,27.94,83,40,3.09,NU,1738356017
285,bandar-e lengeh,26.5579,54.8807,18.27,46,0,2.91,IR,1738356019
286,menongue,-14.6585,17.691,16.98,94,91,1.76,AO,1738356020
287,tomatlan,19.9333,-105.25,32.11,29,2,4.48,MX,1738356022
288,kuqa,41.7278,82.9364,-7.04,77,100,1.49,CN,1738356023
289,fortuna,40.5982,-124.1573,12.42,93,100,7.2,US,1738356024
290,kamyshevatskaya,46.4132,37.9563,5.26,82,100,3.9,RU,1738356025
291,kununurra,-15.7667,128.7333,24.99,83,100,3.09,AU,1738356026
292,harper,4.375,-7.7169,26.65,81,23,3.32,LR,1738356028
293,saint-joseph,-21.3667,55.6167,26.21,82,14,2.92,RE,1738356029
294,tartouss,34.889,35.8866,14.34,64,0,0.67,SY,1738356030
295,chibougamau,49.9168,-74.3659,-19.21,65,0,3.09,CA,1738356031
296,kuching,1.55,110.3333,23.91,94,40,1.03,MY,1738356032
297,darnah,32.767,22.6367,14.59,71,65,3.16,LY,1738356033
298,belyy yar,53.6039,91.3903,-17.06,92,40,0.0,RU,1738356034
299,mirny,62.5353,113.9611,-34.1,100,100,1.23,RU,1738356035
300,keflavik,64.0049,-22.5624,6.24,100,100,22.12,IS,1738356037
301,kralendijk,12.15,-68.2667,28.99,65,40,7.72,BQ,1738356038
302,broken hill,-31.95,141.4333,22.22,25,0,5.71,AU,1738356039
303,sos'va,59.1766,61.8558,-2.01,98,100,1.75,RU,1738356040
304,de soto,34.9248,-89.9904,19.37,43,40,6.17,US,1738356041
305,cill airne,52.05,-9.5167,5.7,91,100,2.99,IE,1738356042
306,nagqu,31.5,92.0,-2.83,7,0,12.24,CN,1738356043
307,adi keyh,14.8444,39.3772,12.68,83,7,2.31,ER,1738356044
308,ugoofaaru,5.6667,73.0,27.33,74,13,2.55,MV,1738356046
309,xingcheng,40.6167,120.7167,-11.94,80,4,2.59,CN,1738356047
310,dudinka,69.4058,86.1778,-22.52,89,100,4.59,RU,1738356048
311,beledweyne,4.7358,45.2036,24.49,44,7,9.59,SO,1738356049
312,zambezi,-13.5432,23.1047,20.05,88,100,2.47,ZM,1738356050
313,cidade velha,14.9167,-23.6167,22.26,73,0,7.2,CV,1738356051
314,revelstoke,50.9832,-118.2023,-0.99,100,100,2.06,CA,1738356052
315,salanso,12.1833,-4.0833,26.83,12,95,3.53,BF,1738356053
316,kyshtovka,56.555,76.6271,-27.38,100,76,1.66,RU,1738356054
317,madinat ash shamal,26.1293,51.2009,17.18,70,0,4.96,QA,1738356056
318,taro,-8.3862,115.28,20.39,94,100,0.8,ID,1738356057
319,buckhannon,38.994,-80.232,12.9,88,100,4.63,US,1738356058
320,kill devil hills,36.0307,-75.676,18.01,79,75,8.75,US,1738356059
321,wangjing,24.6,94.0333,10.57,87,31,1.06,IN,1738356060
322,presidencia de la plaza,-27.0015,-59.8424,36.42,21,0,3.03,AR,1738356061
323,pontal do parana,-25.6533,-48.5128,26.18,80,58,2.91,BR,1738356064
324,portland,45.5234,-122.6762,10.25,95,100,6.26,US,1738355510
325,muroto-misakicho,33.2833,134.15,9.82,64,59,3.0,JP,1738356066
326,shenjiamen,29.9576,122.298,8.39,95,100,8.19,CN,1738356067
327,copala,16.65,-98.9833,28.84,55,0,3.54,MX,1738356069
328,bamyan,34.75,67.25,-22.13,69,6,2.6,AF,1738356072
329,taoudenni,22.6783,-3.9836,17.31,19,0,5.02,ML,1738356073
330,atherton,53.5237,-2.4935,6.61,66,85,1.39,GB,1738356074
331,pandan,14.0453,124.1694,24.99,91,100,3.52,PH,1738356075
332,bartow,27.8964,-81.8431,29.48,48,0,3.6,US,1738356076
333,changyon,38.2508,125.0961,-8.33,89,100,1.34,KP,1738356077
334,tsurugi-asahimachi,36.45,136.6333,0.9,77,95,1.6,JP,1738356078
